county,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_alone,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_islander_alone,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races
"Yancey County, North Carolina","17,602","16,866",108,82,40,3,503,868
"Adams County, North Dakota","2,117","2,039",13,14,39,1,11,83
"Barnes County, North Dakota","10,459","10,025",186,103,69,3,73,394
"Benson County, North Dakota","5,794","2,542",7,"3,216",7,2,20,170
"Billings County, North Dakota",926,911,4,5,6,0,0,19
"Bottineau County, North Dakota","6,086","5,754",31,217,42,1,41,293
"Bowman County, North Dakota","2,888","2,793",0,37,17,3,38,105
"Burke County, North Dakota","2,147","2,082",13,25,12,0,15,54
"Burleigh County, North Dakota","94,173","85,148","2,283","4,257","1,054",317,"1,114","4,285"
"Cass County, North Dakota","175,047","151,307","12,963","2,614","6,068",101,"1,994","9,478"
"Cavalier County, North Dakota","3,573","3,504",3,28,16,0,22,131
"Dickey County, North Dakota","4,792","4,628",28,28,30,0,78,207
"Divide County, North Dakota","2,116","2,054",23,19,11,4,5,79
"Dunn County, North Dakota","3,832","3,277",25,457,33,0,40,263
"Eddy County, North Dakota","2,214","2,109",5,65,2,0,33,133
"Emmons County, North Dakota","3,214","3,179",0,13,12,0,10,87
"Foster County, North Dakota","3,285","3,212",8,20,15,0,30,112
"Golden Valley County, North Dakota","1,645","1,620",5,12,1,1,6,91
"Grand Forks County, North Dakota","68,491","60,056","3,065","1,810","2,495",59,"1,006","4,679"
"Grant County, North Dakota","2,233","2,176",10,34,11,0,2,68
"Griggs County, North Dakota","2,238","2,205",8,12,7,0,6,68
"Hettinger County, North Dakota","2,401","2,327",5,45,7,7,10,88
"Kidder County, North Dakota","2,330","2,278",3,12,2,6,29,64
"LaMoure County, North Dakota","4,008","3,923",14,26,9,4,32,85
"Logan County, North Dakota","1,810","1,778",2,14,0,0,16,66
"McHenry County, North Dakota","5,137","5,054",11,27,13,6,26,208
"McIntosh County, North Dakota","2,456","2,390",7,7,23,0,29,74
"McKenzie County, North Dakota","13,635","10,638",218,"1,894",171,5,709,"1,069"
"McLean County, North Dakota","9,336","8,405",32,808,48,7,36,435
"Mercer County, North Dakota","7,984","7,622",42,200,44,1,75,366
"Morton County, North Dakota","31,662","29,150",466,"1,323",175,40,508,"1,629"
"Mountrail County, North Dakota","9,011","5,706",113,"2,840",105,3,244,798
"Nelson County, North Dakota","2,928","2,863",6,26,9,1,23,87
"Oliver County, North Dakota","1,805","1,757",3,24,5,3,13,72
"Pembina County, North Dakota","6,440","6,173",29,135,27,0,76,404
"Pierce County, North Dakota","3,870","3,637",38,146,17,5,27,120
"Ramsey County, North Dakota","10,941","9,438",73,"1,276",72,10,72,664
"Ransom County, North Dakota","5,534","5,400",38,18,25,0,53,169
"Renville County, North Dakota","2,189","2,161",5,15,1,0,7,93
"Richland County, North Dakota","15,891","14,874",155,467,128,23,244,638
"Rolette County, North Dakota","11,664","2,319",17,"9,278",25,8,17,523
"Sargent County, North Dakota","3,704","3,599",50,13,14,0,28,158
"Sheridan County, North Dakota","1,217","1,191",2,11,8,0,5,48
"Sioux County, North Dakota","3,743",401,3,"3,332",2,0,5,155
"Slope County, North Dakota",685,680,3,2,0,0,0,21
"Stark County, North Dakota","31,783","28,924","1,050",469,356,56,928,"1,863"
"Steele County, North Dakota","1,751","1,732",3,7,0,4,5,47
"Stutsman County, North Dakota","20,810","19,722",456,301,137,4,190,783
"Towner County, North Dakota","2,085","1,987",2,71,10,1,14,77
"Traill County, North Dakota","7,637","7,410",48,74,18,4,83,360
"Walsh County, North Dakota","9,764","9,085",71,145,47,0,416,799
"Ward County, North Dakota","64,401","57,038","3,024","1,706","1,120",133,"1,380","5,518"
"Wells County, North Dakota","3,859","3,801",18,17,12,0,11,123
"Williams County, North Dakota","37,413","31,854","2,096","1,199",636,101,"1,527","3,537"
"Adams County, Ohio","26,558","26,277",84,78,39,1,79,919
"Allen County, Ohio","95,969","80,753","12,573",300,840,53,"1,450","6,237"
"Ashland County, Ohio","50,397","49,249",394,114,322,33,285,"2,050"
"Ashtabula County, Ohio","91,321","85,486","3,606",203,349,18,"1,659","6,253"
"Athens County, Ohio","59,509","54,513","2,894",247,"1,223",2,630,"2,922"
"Auglaize County, Ohio","44,822","43,929",240,86,255,41,271,"1,600"
"Belmont County, Ohio","63,651","60,831","2,117",89,266,11,337,"2,846"
"Brown County, Ohio","41,914","41,237",304,75,97,5,196,"1,762"
"Butler County, Ohio","365,004","299,100","34,704","1,481","15,730",494,"13,495","25,353"
"Carroll County, Ohio","25,697","25,307",122,77,52,4,135,"1,024"
"Champaign County, Ohio","36,768","35,615",688,91,129,7,238,"1,946"
"Clark County, Ohio","127,337","111,088","12,200",419,902,93,"2,635","8,664"
"Clermont County, Ohio","197,378","189,024","3,347",449,"2,549",63,"1,946","11,223"
"Clinton County, Ohio","40,065","38,484",832,104,206,6,433,"1,953"
"Columbiana County, Ohio","97,573","94,155","2,122",319,346,16,615,"4,304"
"Coshocton County, Ohio","35,427","34,730",397,63,104,13,120,"1,185"
"Crawford County, Ohio","40,341","39,652",319,40,137,12,181,"1,684"
"Cuyahoga County, Ohio","1,190,149","736,116","370,895","2,990","44,071",361,"35,716","74,668"
"Darke County, Ohio","50,293","49,322",303,107,182,26,353,"1,588"
"Defiance County, Ohio","35,978","33,648",668,145,142,17,"1,358","2,308"
"Delaware County, Ohio","202,146","173,231","7,840",324,"18,216",75,"2,460","11,978"
"Erie County, Ohio","70,431","62,122","6,807",195,481,11,815,"5,191"
"Fairfield County, Ohio","150,291","131,676","13,484",378,"3,093",35,"1,625","8,630"
"Fayette County, Ohio","27,552","26,523",543,69,171,11,235,"1,399"
"Franklin County, Ohio","1,230,708","802,685","299,771","4,564","74,071",534,"49,083","93,099"
"Fulton County, Ohio","40,005","38,092",254,148,153,9,"1,349","2,708"
"Gallia County, Ohio","28,007","27,049",600,64,148,5,141,"1,213"
"Geauga County, Ohio","91,779","89,422","1,082",53,673,9,540,"3,618"
"Greene County, Ohio","156,557","137,146","11,486",432,"5,571",105,"1,817","11,409"
"Guernsey County, Ohio","36,873","35,898",535,94,154,8,184,"1,565"
"Hamilton County, Ohio","782,986","525,850","209,173","2,244","25,333",673,"19,713","47,653"
"Hancock County, Ohio","70,895","66,590","1,431",149,"1,402",31,"1,292","4,025"
"Hardin County, Ohio","29,458","28,650",262,58,169,12,307,"1,238"
"Harrison County, Ohio","13,806","13,456",241,19,40,6,44,677
"Henry County, Ohio","26,376","25,244",160,103,126,4,739,"1,286"
"Highland County, Ohio","41,603","40,662",520,119,110,8,184,"1,714"
"Hocking County, Ohio","26,946","26,595",140,50,71,0,90,"1,104"
"Holmes County, Ohio","43,447","43,088",123,36,64,5,131,776
"Huron County, Ohio","54,918","52,412",605,201,221,14,"1,465","3,647"
"Jackson County, Ohio","31,425","30,956",159,107,105,1,97,"1,228"
"Jefferson County, Ohio","61,608","56,954","3,687",136,344,33,454,"3,641"
"Knox County, Ohio","60,100","58,400",566,147,367,20,600,"2,621"
"Lake County, Ohio","219,780","199,296","11,022",546,"3,273",39,"5,604","12,823"
"Lawrence County, Ohio","56,004","54,258","1,115",136,225,10,260,"2,236"
"Licking County, Ohio","168,745","154,070","7,213",452,"5,028",52,"1,930","9,774"
"Logan County, Ohio","43,617","42,049",677,99,327,14,451,"2,533"
"Lorain County, Ohio","286,958","247,300","24,863",920,"3,623",75,"10,177","26,006"
"Lucas County, Ohio","399,104","295,109","85,081","1,433","7,185",136,"10,160","32,175"
"Madison County, Ohio","41,737","38,046","2,686",72,256,4,673,"2,087"
"Mahoning County, Ohio","215,181","172,721","34,835",528,"1,981",77,"5,039","13,433"
"Marion County, Ohio","62,259","56,754","4,107",193,362,16,827,"3,100"
"Medina County, Ohio","173,391","167,082","2,344",250,"2,212",34,"1,469","9,079"
"Meigs County, Ohio","21,566","21,250",153,50,23,0,90,644
"Mercer County, Ohio","41,437","40,057",204,82,189,566,339,"1,091"
"Miami County, Ohio","103,172","97,622","2,593",195,"1,644",21,"1,097","5,602"
"Monroe County, Ohio","13,030","12,945",19,12,21,3,30,355
"Montgomery County, Ohio","503,265","365,077","113,728","1,374","12,814",258,"10,014","34,044"
"Morgan County, Ohio","13,092","12,568",405,20,24,4,71,710
"Morrow County, Ohio","33,512","32,933",159,88,90,8,234,"1,438"
"Muskingum County, Ohio","81,455","77,309","3,032",149,391,8,566,"4,955"
"Noble County, Ohio","13,783","12,886",757,34,23,0,83,332
"Ottawa County, Ohio","38,374","37,275",358,78,174,7,482,"1,990"
"Paulding County, Ohio","17,906","17,255",155,91,30,5,370,900
"Perry County, Ohio","34,080","33,710",90,100,67,0,113,"1,328"
"Pickaway County, Ohio","55,735","52,734","2,159",164,300,11,367,"2,804"
"Pike County, Ohio","26,017","25,559",190,115,70,7,76,"1,071"
"Portage County, Ohio","152,843","139,778","8,037",277,"3,425",46,"1,280","8,948"
"Preble County, Ohio","39,470","38,857",186,91,162,4,170,"1,529"
"Putnam County, Ohio","33,331","32,077",125,56,64,3,"1,006","1,120"
"Richland County, Ohio","118,572","105,139","11,312",246,793,58,"1,024","6,364"
"Ross County, Ohio","73,149","68,104","4,044",212,372,20,397,"3,944"
"Sandusky County, Ohio","54,547","50,425","1,886",197,202,8,"1,829","4,349"
"Scioto County, Ohio","71,077","67,925","2,075",264,274,12,527,"2,931"
"Seneca County, Ohio","52,149","49,358","1,380",120,363,37,891,"2,920"
"Shelby County, Ohio","46,162","44,280",849,98,451,29,455,"2,068"
"Stark County, Ohio","351,001","313,356","29,118","1,148","3,200",119,"4,060","23,852"
"Summit County, Ohio","509,754","400,818","79,726","1,050","22,621",160,"5,379","30,674"
"Trumbull County, Ohio","191,033","171,062","17,200",299,"1,107",26,"1,339","10,944"
"Tuscarawas County, Ohio","89,432","85,679",724,967,306,29,"1,727","3,831"
"Union County, Ohio","59,661","53,670","1,300",120,"4,045",0,526,"3,123"
"Van Wert County, Ohio","27,717","26,833",265,58,89,13,459,"1,214"
"Vinton County, Ohio","12,369","12,258",51,19,22,0,19,431
"Warren County, Ohio","228,867","200,073","8,288",407,"17,331",158,"2,610","13,470"
"Washington County, Ohio","57,319","55,950",605,126,312,11,315,"2,452"
"Wayne County, Ohio","111,873","107,729","1,786",197,966,40,"1,155","5,021"
"Williams County, Ohio","35,449","34,164",335,85,199,8,658,"1,653"
"Wood County, Ohio","123,840","115,339","3,185",310,"2,764",10,"2,232","8,408"
"Wyandot County, Ohio","21,193","20,732",81,25,85,3,267,707
"Adair County, Oklahoma","16,882","7,645",41,"8,570",162,12,452,"2,613"
"Alfalfa County, Oklahoma","5,345","4,771",238,195,7,0,134,354
"Atoka County, Oklahoma","12,614","9,480",565,"2,253",49,4,263,"1,529"
"Beaver County, Oklahoma","4,680","3,811",4,46,15,7,797,369
"Beckham County, Oklahoma","20,726","17,519","1,136",852,131,12,"1,076","1,684"
"Blaine County, Oklahoma","7,829","6,463",263,672,26,8,397,906
"Bryan County, Oklahoma","40,262","31,023",744,"6,820",295,14,"1,366","5,805"
"Caddo County, Oklahoma","24,310","16,743",690,"5,773",68,17,"1,019","2,635"
"Canadian County, Oklahoma","136,094","112,548","5,467","6,922","4,847",114,"6,196","18,311"
"Carter County, Oklahoma","42,097","32,121","2,872","4,430",588,51,"2,035","5,906"
"Cherokee County, Oklahoma","39,395","20,787",537,"16,271",311,21,"1,468","7,683"
"Choctaw County, Oklahoma","12,456","8,284","1,383","2,579",29,5,176,"1,748"
"Cimarron County, Oklahoma","2,091","1,801",1,17,1,0,271,205
"Cleveland County, Oklahoma","256,906","203,615","15,147","13,274","12,827",278,"11,765","38,622"
"Coal County, Oklahoma","4,606","3,441",27,"1,035",15,2,86,660
"Comanche County, Oklahoma","105,580","69,301","19,802","7,237","3,141",877,"5,222","15,545"
"Cotton County, Oklahoma","4,949","4,212",76,528,28,9,96,578
"Craig County, Oklahoma","12,041","8,581",378,"2,854",76,3,149,"2,066"
"Creek County, Oklahoma","62,716","52,436","1,480","7,188",309,67,"1,236","9,038"
"Custer County, Oklahoma","25,053","20,025",823,"1,945",311,12,"1,937","3,460"
"Delaware County, Oklahoma","35,338","25,394",136,"8,695",474,36,603,"5,059"
"Dewey County, Oklahoma","4,168","3,827",7,268,4,2,60,316
"Ellis County, Oklahoma","3,468","3,269",20,61,15,0,103,281
"Garfield County, Oklahoma","56,357","45,297","1,747","1,579",706,"2,941","4,087","6,489"
"Garvin County, Oklahoma","22,850","18,904",552,"2,190",118,13,"1,073","2,806"
"Grady County, Oklahoma","48,944","43,117","1,324","3,050",204,38,"1,211","5,851"
"Grant County, Oklahoma","3,918","3,701",44,80,12,8,73,251
"Greer County, Oklahoma","5,031","4,277",362,186,7,1,198,460
"Harmon County, Oklahoma","2,193","1,742",164,57,11,0,219,295
"Harper County, Oklahoma","3,012","2,488",4,50,1,0,469,260
"Haskell County, Oklahoma","10,416","7,855",66,"2,242",21,7,225,"1,145"
"Hughes County, Oklahoma","12,035","8,227",732,"2,587",41,14,434,"1,332"
"Jackson County, Oklahoma","21,609","16,532","1,726",535,344,77,"2,395","3,176"
"Jefferson County, Oklahoma","4,799","4,206",27,286,30,5,245,538
"Johnston County, Oklahoma","9,102","6,892",247,"1,662",52,5,244,"1,170"
"Kay County, Oklahoma","39,001","31,801",879,"4,427",254,277,"1,363","4,699"
"Kingfisher County, Oklahoma","13,627","11,652",179,473,47,3,"1,273","1,557"
"Kiowa County, Oklahoma","7,772","6,519",327,559,52,3,312,737
"Latimer County, Oklahoma","8,398","5,925",43,"2,283",68,5,74,"1,046"
"Le Flore County, Oklahoma","42,796","32,654",859,"7,113",295,32,"1,843","5,333"
"Lincoln County, Oklahoma","30,001","26,543",598,"2,359",119,13,369,"3,457"
"Logan County, Oklahoma","44,097","37,097","3,286","1,743",275,31,"1,665","5,458"
"Love County, Oklahoma","9,018","7,206",198,649,72,0,893,"1,128"
"McClain County, Oklahoma","36,554","31,626",352,"2,834",212,36,"1,494","5,108"
"McCurtain County, Oklahoma","27,029","18,494","2,564","4,515",132,460,864,"3,785"
"McIntosh County, Oklahoma","16,818","12,810",547,"3,249",73,5,134,"2,123"
"Major County, Oklahoma","7,143","6,622",16,165,47,0,293,639
"Marshall County, Oklahoma","13,508","10,210",170,"1,509",44,6,"1,569","1,804"
"Mayes County, Oklahoma","32,993","23,933",191,"8,225",193,27,424,"6,053"
"Murray County, Oklahoma","12,305","9,668",167,"2,017",48,27,378,"1,599"
"Muskogee County, Oklahoma","57,213","35,802","6,622","12,086",512,39,"2,152","9,126"
"Noble County, Oklahoma","9,850","8,560",153,988,47,0,102,"1,074"
"Nowata County, Oklahoma","7,661","5,900",108,"1,602",8,5,38,"1,659"
"Okfuskee County, Oklahoma","10,155","6,685",700,"2,588",32,0,150,"1,155"
"Oklahoma County, Oklahoma","693,263","437,129","120,320","27,075","28,178","1,304","79,257","103,029"
"Okmulgee County, Oklahoma","31,798","22,091","2,768","6,115",164,22,638,"4,908"
"Osage County, Oklahoma","40,181","27,903","4,842","6,555",128,19,734,"5,637"
"Ottawa County, Oklahoma","26,304","19,365",298,"5,704",154,232,551,"3,981"
"Pawnee County, Oklahoma","13,958","11,702",79,"1,960",50,0,167,"1,595"
"Payne County, Oklahoma","72,294","60,654","3,195","3,797","2,673",59,"1,916","9,352"
"Pittsburg County, Oklahoma","38,100","29,042","1,251","6,597",284,37,889,"5,673"
"Pontotoc County, Oklahoma","32,486","23,271",884,"7,171",373,13,774,"5,579"
"Pottawatomie County, Oklahoma","63,889","50,484","2,242","9,145",514,47,"1,457","8,565"
"Pushmataha County, Oklahoma","9,620","7,507",67,"1,856",52,0,138,"1,192"
"Roger Mills County, Oklahoma","3,144","2,945",8,122,5,2,62,298
"Rogers County, Oklahoma","81,128","63,792","1,167","12,425","1,687",45,"2,012","14,112"
"Seminole County, Oklahoma","20,473","14,438",923,"4,638",76,8,390,"3,083"
"Sequoyah County, Oklahoma","33,755","22,928",616,"9,205",288,14,704,"5,526"
"Stephens County, Oklahoma","38,074","33,461",822,"2,183",250,21,"1,337","4,774"
"Texas County, Oklahoma","17,797","10,136","1,025",563,475,0,"5,598","3,587"
"Tillman County, Oklahoma","6,124","4,554",497,242,31,0,800,844
"Tulsa County, Oklahoma","572,399","390,702","67,414","40,047","25,122","1,099","48,015","96,880"
"Wagoner County, Oklahoma","69,061","54,125","2,709","8,372","1,434",38,"2,383","11,920"
"Washington County, Oklahoma","45,103","36,126","1,354","5,409",980,12,"1,222","7,352"
"Washita County, Oklahoma","9,921","9,161",101,340,23,0,296,"1,003"
"Woods County, Oklahoma","8,022","7,191",237,264,76,1,253,602
"Woodward County, Oklahoma","18,490","16,136",351,633,126,6,"1,238","1,980"
"Baker County, Oregon","15,635","14,936",77,186,66,21,349,"1,033"
"Benton County, Oregon","86,292","74,612","1,002",819,"6,428",292,"3,139","8,892"
"Clackamas County, Oregon","380,858","334,855","4,554","3,510","20,699","1,117","16,123","40,543"
"Clatsop County, Oregon","37,477","34,525",226,431,564,104,"1,627","3,595"
"Columbia County, Oregon","48,007","45,243",323,733,583,121,"1,004","4,582"
"Coos County, Oregon","59,136","54,930",289,"1,493",747,128,"1,549","5,793"
"Crook County, Oregon","22,722","21,349",80,317,114,30,832,"2,016"
"Curry County, Oregon","21,331","19,925",84,541,214,25,542,"2,115"
"Deschutes County, Oregon","180,993","169,137",887,"1,563","2,481",272,"6,653","17,260"
"Douglas County, Oregon","101,896","96,048",400,"1,950","1,231",164,"2,103","9,305"
"Gilliam County, Oregon","1,850","1,770",4,29,9,11,27,145
"Grant County, Oregon","6,703","6,523",13,65,23,10,69,530
"Harney County, Oregon","6,969","6,566",8,246,36,0,113,526
"Hood River County, Oregon","20,267","16,381",53,274,392,37,"3,130","3,710"
"Jackson County, Oregon","198,701","178,193","1,734","2,781","3,387",867,"11,739","24,558"
"Jefferson County, Oregon","22,091","15,992",145,"3,323",149,24,"2,458","2,411"
"Josephine County, Oregon","80,038","75,344",415,"1,071",886,128,"2,194","8,052"
